NCBI_Refseq	GTDB_Phylum	GTDB_Class	GTDB_Order	GTDB_Family	GTDB_Genus	GTDB_Species	Isolation Source
GCA_009884515	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmoidaceae	Mycoplasma_L	Mycoplasma_L liparidae	host
GCA_011523395	Actinobacteriota	Acidimicrobiia	UBA5794	SZUA-232	VXMP01	VXMP01 sp011523395	host
GCA_011523635	Actinobacteriota	Acidimicrobiia	UBA5794	SZUA-232	VXMP01	VXMP01 sp011523635	host
GCA_011525035	Bacteroidota	Bacteroidia	Flavobacteriales	Schleiferiaceae	UBA10364	UBA10364 sp011525035	host
GCA_012103255	Acidobacteriota	UBA890	UBA890	WLXD01	WLXD01	WLXD01 sp012103255	host
GCA_012270555	Chloroflexota	UBA11872	VXOZ01	VXOZ01	VXOZ01	VXOZ01 sp012270555	host
GCA_012270885	Actinobacteriota	Acidimicrobiia	UBA5794	Bin76	Bin76	Bin76 sp012270885	host
GCA_014384705	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	NSJ-40	NSJ-40 sp014384705	host
GCA_014384765	Firmicutes_A	Clostridia	Oscillospirales	BX7	BX7	BX7 sp014384765	host
GCA_014384795	Firmicutes_A	Clostridia_A	Christensenellales	NSJ-53	NSJ-53	NSJ-53 sp014384795	host
GCA_014384805	Firmicutes_A	Clostridia_A	Christensenellales	Christensenellaceae	NSJ-63	NSJ-63 sp014384805	host
GCA_014385095	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	NSJ-54	NSJ-54 sp014385095	host
GCA_014385195	Firmicutes_A	Clostridia	Tissierellales	Tissierellaceae	BX21	BX21 sp014385195	host
GCA_014385225	Firmicutes_A	Clostridia	Tissierellales	Tissierellaceae	JACRTK01	JACRTK01 sp014385225	host
GCA_014385265	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-81	CAG-81 sp000435795	host
GCA_900752445	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UBA5446	UBA5446 sp900752445	host
GCA_900761435	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	Coprococcus sp900761435	host
GCA_900766195	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp900766195	host
GCA_900768045	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp900768045	host
GCA_900769445	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp900769445	host
GCA_900770295	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	Dysosmobacter sp900770295	host
GCA_900770395	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp900770395	host
GCA_900770635	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp900770635	host
GCA_902388455	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	CAG-831	CAG-831 sp902388455	host
GCA_902760595	Firmicutes_A	Clostridia_A	Christensenellales	CAG-74	UBA4246	UBA4246 sp902760595	host
GCA_902761605	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp902761605	host
GCA_902761975	Elusimicrobiota	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	UBA1436	UBA1436 sp902761975	host
GCA_902762435	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	RC9 sp902762435	host
GCA_902762505	Firmicutes_A	Clostridia	Oscillospirales	CAG-272	UBA1248	UBA1248 sp902762505	host
GCA_902762655	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	RC9 sp902762655	host
GCA_902762805	Bacteroidota	Bacteroidia	Bacteroidales	P3	UBA1711	UBA1711 sp902762805	host
GCA_902763185	Proteobacteria	Alphaproteobacteria	RF32	CAG-239	CAG-267	CAG-267 sp902763185	host
GCA_902764145	Firmicutes	Bacilli	RF39	UBA660	CAG-1000	CAG-1000 sp902764145	host
GCA_902764185	Firmicutes_A	Clostridia_A	Christensenellales	CAG-74	SFMI01	SFMI01 sp902764185	host
GCA_902765005	Firmicutes_A	Clostridia_A	Christensenellales	CAG-138	RUG472	RUG472 sp902765005	host
GCA_902765225	Elusimicrobiota	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	UBA1436	UBA1436 sp902765225	host
GCA_902765395	Firmicutes_A	Clostridia_A	Christensenellales	CAG-74	UBA2862	UBA2862 sp902765395	host
GCA_902765625	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Ruminococcus_E	RuminococcuE sp902765625	host
GCA_902765735	Firmicutes_A	Clostridia_A	Christensenellales	CAG-74	UBA2862	UBA2862 sp002350605	host
GCA_902767115	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UBA3855	UBA3855 sp902767115	host
