Hepler	sameSp	Type
S20	S327	KS
S63	S327	KS
S11	S329	KS
S20	S329	KS
S63	S329	KS
S64	S329	KS
S60	S330	KS
S11	S331	NS
S64	S332	NG
S08	S333	KS
S63	S333	KS
S11	S334	NS
S08	S334	NS
S47	S335	NS
S47	S336	NS
S08	S337	NG
S63	S338	NS
S20	S339	NS
S11	S340	NS
S26	S341	KS
S60	S341	KS
S60	S341	KS
S64	S341	KS
S64	S341	KS
S63	S342	KS
S64	S343	NS
S63	S343	NS
S64	S343	NS
S63	S344	NG
S20	S345	NS
S08	S345	NS
S26	S345	NS
S47	S345	NS
S47	S345	NS
S47	S345	NS
S08	S345	NS
S64	S345	NS
S64	S345	NS
S47	S346	NS
S20	S346	NS
S47	S346	NS
S11	S346	NS
S60	S347	KS
S08	S348	KS
S20	S348	KS
S26	S348	KS
S64	S349	NS
S64	S349	NS
S11	S349	NS
S11	S350	NS
S11	S350	NS
S26	S351	NS
S64	S352	NS
S63	S352	NS
S63	S352	NS
S11	S353	KS
S47	S354	KS
S60	S354	KS
S63	S355	KS
S11	S356	NS
S26	S357	KS
S08	S357	KS
S63	S358	KS
S08	S359	NS
S26	S360	KS
S63	S360	KS
S63	S360	KS
S26	S360	KS
S08	S361	KS
S63	S362	KS
S64	S362	KS
S63	S363	NS
S26	S363	NS
S60	S363	NS
S26	S363	NS
S60	S363	NS
S63	S363	NS
S26	S363	NS
S63	S363	NS
S11	S363	NS
S20	S364	NS
S47	S364	NS
S47	S364	NS
S26	S365	NS
S20	S365	NS
S26	S365	NS
S63	S365	NS
S60	S366	KS
S63	S366	KS
S20	S367	KS
S26	S368	NS
S60	S368	NS
S20	S368	NS
S64	S368	NS
S64	S368	NS
S08	S368	NS
S08	S368	NS
S60	S369	KS
S08	S371	NS
S08	S373	NG
S26	S373	NG
S47	S374	KS
S60	S375	NS
S63	S375	KS
S08	S376	NS
S20	S377	NS
S08	S377	NS
S64	S377	NS
S08	S377	NS
S63	S378	NG
S63	S378	NG
S08	S379	KS
S08	S379	KS
S20	S379	KS
S20	S379	KS
S26	S379	KS
S47	S379	KS
S60	S379	KS
S64	S379	KS
S63	S379	KS
S20	S380	KS
S47	S380	KS
S20	S381	KS
S11	S382	KS
S11	S382	KS
S20	S382	KS
S26	S382	KS
S47	S382	KS
S47	S382	KS
S60	S382	KS
S64	S382	KS
S08	S382	KS
S08	S383	KS
